product_id,product_name,category,production_costs
1,Product 1,Electronics,21.3
2,Product 2,Food,30.7
3,Product 3,Food,25.44
4,Product 4,Books,24.41
5,Product 5,Electronics,25.86
6,Product 6,Books,34.36
7,Product 7,Clothing,28.8
8,Product 8,Electronics,28.04
9,Product 9,Electronics,36.08
10,Product 10,Food,26.55
11,Product 11,Books,28.56
12,Product 12,Clothing,17.61
13,Product 13,Electronics,16.1
14,Product 14,Books,34.86
15,Product 15,Electronics,28.88
16,Product 16,Clothing,29.71
17,Product 17,Books,32.67
18,Product 18,Electronics,33.68
19,Product 19,Books,30.61
20,Product 20,Clothing,39.67
21,Product 21,Books,25.66
22,Product 22,Electronics,20.19
23,Product 23,Electronics,31.52
24,Product 24,Books,21.51
25,Product 25,Books,29.21
26,Product 26,Books,27.65
27,Product 27,Electronics,31.31
28,Product 28,Clothing,25.46
29,Product 29,Food,31.3
30,Product 30,Books,34.06
31,Product 31,Food,27.58
32,Product 32,Food,23.06
33,Product 33,Electronics,27.08
34,Product 34,Electronics,23.66
35,Product 35,Food,33.57
36,Product 36,Food,37.59
37,Product 37,Food,23.91
38,Product 38,Books,28.72
39,Product 39,Books,24.55
40,Product 40,Food,28.11
41,Product 41,Electronics,22.61
42,Product 42,Clothing,28.73
43,Product 43,Electronics,24.03
44,Product 44,Food,27.48
45,Product 45,Books,26.67
46,Product 46,Food,34.55
47,Product 47,Electronics,32.86
48,Product 48,Food,28.85
49,Product 49,Electronics,31.94
50,Product 50,Clothing,32.04
51,Product 51,Clothing,23.29
52,Product 52,Books,20.33
53,Product 53,Electronics,23.19
54,Product 54,Food,35.01
55,Product 55,Clothing,24.05
56,Product 56,Books,29.07
57,Product 57,Food,22.0
58,Product 58,Books,32.37
59,Product 59,Electronics,37.62
60,Product 60,Food,27.81
61,Product 61,Clothing,26.23
62,Product 62,Electronics,24.46
63,Product 63,Food,29.12
64,Product 64,Books,27.15
65,Product 65,Books,32.91
66,Product 66,Clothing,27.46
67,Product 67,Clothing,28.88
68,Product 68,Electronics,23.91
69,Product 69,Books,22.44
70,Product 70,Food,28.08
71,Product 71,Clothing,30.69
72,Product 72,Books,34.04
73,Product 73,Books,30.36
74,Product 74,Food,28.38
75,Product 75,Electronics,28.62
76,Product 76,Electronics,25.61
77,Product 77,Electronics,24.12
78,Product 78,Books,30.56
79,Product 79,Electronics,30.23
80,Product 80,Electronics,22.83
81,Product 81,Books,27.81
82,Product 82,Books,31.97
83,Product 83,Electronics,38.92
84,Product 84,Electronics,27.86
85,Product 85,Food,27.83
86,Product 86,Books,31.41
87,Product 87,Food,32.89
88,Product 88,Electronics,31.35
89,Product 89,Electronics,29.86
90,Product 90,Books,32.93
91,Product 91,Food,23.32
92,Product 92,Clothing,31.69
93,Product 93,Food,18.56
94,Product 94,Clothing,21.46
95,Product 95,Clothing,17.44
96,Product 96,Food,25.45
97,Product 97,Food,25.81
98,Product 98,Clothing,28.19
99,Product 99,Food,25.09
100,Product 100,Electronics,28.02
101,Product 101,Food,25.83
102,Product 102,Food,29.18
103,Product 103,Food,19.84
104,Product 104,Books,23.39
105,Product 105,Food,30.76
106,Product 106,Food,20.82
107,Product 107,Electronics,21.93
108,Product 108,Food,34.61
109,Product 109,Electronics,28.87
110,Product 110,Food,24.25
111,Product 111,Books,32.18
112,Product 112,Electronics,21.76
113,Product 113,Food,28.68
114,Product 114,Clothing,28.91
115,Product 115,Food,22.66
116,Product 116,Food,28.54
117,Product 117,Electronics,24.09
118,Product 118,Food,28.82
119,Product 119,Clothing,27.31
120,Product 120,Books,27.11
121,Product 121,Clothing,22.83
122,Product 122,Books,30.66
123,Product 123,Clothing,32.07
124,Product 124,Books,25.03
125,Product 125,Clothing,26.49
126,Product 126,Electronics,22.93
127,Product 127,Books,25.97
128,Product 128,Electronics,27.86
129,Product 129,Food,14.0
130,Product 130,Books,33.25
131,Product 131,Books,23.24
132,Product 132,Books,28.66
133,Product 133,Books,21.63
134,Product 134,Clothing,28.78
135,Product 135,Books,31.78
136,Product 136,Clothing,20.33
137,Product 137,Books,29.37
138,Product 138,Clothing,24.45
139,Product 139,Books,22.81
140,Product 140,Books,22.07
141,Product 141,Clothing,20.61
142,Product 142,Clothing,34.49
143,Product 143,Food,23.76
144,Product 144,Food,34.16
145,Product 145,Books,26.58
146,Product 146,Clothing,21.53
147,Product 147,Electronics,33.12
148,Product 148,Clothing,19.48
149,Product 149,Electronics,26.63
150,Product 150,Clothing,26.28
151,Product 151,Electronics,30.32
152,Product 152,Books,31.79
153,Product 153,Electronics,11.68
154,Product 154,Books,23.39
155,Product 155,Books,27.89
156,Product 156,Food,27.6
157,Product 157,Clothing,32.98
158,Product 158,Clothing,22.71
159,Product 159,Books,33.19
160,Product 160,Electronics,26.05
161,Product 161,Books,33.34
162,Product 162,Electronics,27.05
163,Product 163,Electronics,24.44
164,Product 164,Food,25.76
165,Product 165,Electronics,27.03
166,Product 166,Clothing,27.31
167,Product 167,Food,24.82
168,Product 168,Clothing,29.4
169,Product 169,Books,25.81
170,Product 170,Electronics,30.42
171,Product 171,Clothing,34.19
172,Product 172,Electronics,28.54
173,Product 173,Clothing,28.79
174,Product 174,Food,26.99
175,Product 175,Electronics,27.09
176,Product 176,Clothing,29.27
177,Product 177,Electronics,26.88
